{'name': 'System Idle Process', 'pid': 0}
{'name': 'System', 'pid': 4}
{'name': 'Registry', 'pid': 124}
{'name': 'smss.exe', 'pid': 472}
{'name': 'msedge.exe', 'pid': 484}
{'name': 'fontdrvhost.exe', 'pid': 496}
{'name': 'svchost.exe', 'pid': 520}
{'name': 'csrss.exe', 'pid': 632}
{'name': 'svchost.exe', 'pid': 800}
{'name': 'wininit.exe', 'pid': 804}
{'name': 'services.exe', 'pid': 880}
{'name': 'lsass.exe', 'pid': 892}
{'name': 'svchost.exe', 'pid': 1012}
{'name': 'svchost.exe', 'pid': 1028}
{'name': 'svchost.exe', 'pid': 1068}
{'name': 'WUDFHost.exe', 'pid': 1176}
{'name': 'msedgewebview2.exe', 'pid': 1224}
{'name': 'TextInputHost.exe', 'pid': 1284}
{'name': 'svchost.exe', 'pid': 1308}
{'name': 'FileCoAuth.exe', 'pid': 1332}
{'name': 'svchost.exe', 'pid': 1348}
{'name': 'svchost.exe', 'pid': 1356}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 1436}
{'name': 'svchost.exe', 'pid': 1444}
{'name': 'svchost.exe', 'pid': 1472}
{'name': 'svchost.exe', 'pid': 1488}
{'name': 'svchost.exe', 'pid': 1560}
{'name': 'svchost.exe', 'pid': 1568}
{'name': 'SecurityHealthSystray.exe', 'pid': 1636}
{'name': 'svchost.exe', 'pid': 1680}
{'name': 'IntelCpHeciSvc.exe', 'pid': 1696}
{'name': 'Code.exe', 'pid': 1776}
{'name': 'svchost.exe', 'pid': 1804}
{'name': 'svchost.exe', 'pid': 1812}
{'name': 'svchost.exe', 'pid': 1892}
{'name': 'Code.exe', 'pid': 1960}
{'name': 'igfxCUIService.exe', 'pid': 2028}
{'name': 'svchost.exe', 'pid': 2104}
{'name': 'svchost.exe', 'pid': 2184}
{'name': 'svchost.exe', 'pid': 2196}
{'name': 'svchost.exe', 'pid': 2204}
{'name': 'svchost.exe', 'pid': 2296}
{'name': 'svchost.exe', 'pid': 2304}
{'name': 'svchost.exe', 'pid': 2404}
{'name': 'MemCompression', 'pid': 2412}
{'name': 'svchost.exe', 'pid': 2432}
{'name': 'taskhostw.exe', 'pid': 2624}
{'name': 'svchost.exe', 'pid': 2712}
{'name': 'svchost.exe', 'pid': 2724}
{'name': 'svchost.exe', 'pid': 2868}
{'name': 'svchost.exe', 'pid': 2920}
{'name': 'RuntimeBroker.exe', 'pid': 2976}
{'name': 'svchost.exe', 'pid': 3044}
{'name': 'svchost.exe', 'pid': 3052}
{'name': 'svchost.exe', 'pid': 3060}
{'name': 'svchost.exe', 'pid': 3152}
{'name': 'svchost.exe', 'pid': 3232}
{'name': 'svchost.exe', 'pid': 3288}
{'name': 'svchost.exe', 'pid': 3332}
{'name': 'spoolsv.exe', 'pid': 3384}
{'name': 'csrss.exe', 'pid': 3468}
{'name': 'svchost.exe', 'pid': 3476}
{'name': 'esif_uf.exe', 'pid': 3508}
{'name': 'svchost.exe', 'pid': 3580}
{'name': 'msedge.exe', 'pid': 3668}
{'name': 'svchost.exe', 'pid': 3696}
{'name': 'msedgewebview2.exe', 'pid': 3736}
{'name': 'svchost.exe', 'pid': 3796}
{'name': 'svchost.exe', 'pid': 3820}
{'name': 'svchost.exe', 'pid': 3832}
